Vessel,Expedition_Leg,Science program,Start date,Start port city,Start port country,End date,End port city,End port country,Total (days),In port (days),In transit (days),On site (days),Off site (days),"Coring, drilling, tripping (days)",Logging & downhole tools (days),"Reentry, casing, cementing (days)",Remedial action (days),"Engineering, completion, CORK (days)","Lost time [weather, repairs] (days)",Other (days),Sites,Holes,Cores,Distance traveled (nmi),Average transit speed (kn),Total penetration (m),Interval drilled (m),Interval cored (m),Core recovered (m),Recovery (%),Maximum water depth (m),Minimum water depth (m),Seafloor camera deployments,Reentries,Staff Scientist*,Operations Superintendent*,Lab Officer,Curator*,Co-chiefs
GLOMAR CHALLENGER,70,Galapagos Spreading Center Geothermal Conditions,29-Oct-79,Balboa,Panama,28-Dec-79,Valparaiso,Chile,59.9,13.3,16,30.6,,20.54,3.02,1.9,,,0.24,4.9,6,33,151,3116.1,8.3,1450,632.6,817.4,477.93,58.5,3473.5,2699.1,,,Peter Borella,Robert Knapp,Michael Lehman,Kathleen O'Neill,Jose Honnorez & Richard von Herzen
GLOMAR CHALLENGER,71,South Atlantic Cenozoic and Mesozoic Paleoenvironment I,28-Dec-79,Valparaiso,Chile,21-Feb-80,Santos,Brazil,55.05,6.2,26.99,21.86,,14.9,0.6,,,,5.6,0.8,4,6,173,5466.1,8.3,1441.5,138.5,1303,822.4,63.1,4381,1843.9,,,John Usher,Glen Foss/Robert Knapp,Gerald Bode,Amy Altman,Valery Krasheninnikov & William Ludwig
GLOMAR CHALLENGER,72,South Atlantic Cenozoic and Mesozoic Paleoenvironment II,21-Feb-80,Santos,Brazil,8-Apr-80,Santos,Brazil,46.92,5.54,9.53,31.85,,27.24,0.45,,,,2.08,2.08,5,12,308,1846.4,8.7,2712.8,549.9,2162.9,1543.9,71.4,4840,1327,,,William Coulbourn,Robert Knapp,Ted Gustafson,William Mills,Peter Barker & Richard Carlson & David Johnson
GLOMAR CHALLENGER,73,South Atlantic Cenozoic and Mesozoic Paleoenvironment III,8-Apr-80,Santos,Brazil,1-Jun-80,Cape Town,South Africa,54.16,5.41,17.38,31.35,,26.1,1.5,,,,0.6,3.2,6,13,286,3652.7,8.9,2057.1,582.5,1474.6,1051.4,71.3,4805,3778.5,,,,Glen Foss,Michael Lehman,Amy Altman,Kenneth Hsu & John LaBrecque
GLOMAR CHALLENGER,74,South Atlantic Cenozoic and Mesozoic Paleoenvironment IV,1-Jun-80,Cape Town,South Africa,24-Jul-80,Walvis Bay,South Africa,53.1,5.1,16.3,31.67,,25.71,2.29,,,,2.42,1.25,5,11,356,3536.1,9,3138.7,565.9,2572.8,1829.5,71.1,4437,1065.5,,,Peter Borella,Michael Storms,Ted Gustafson,William Mills,Theodore Moore Jr. & Philip Rabinowitz
GLOMAR CHALLENGER,75,South Atlantic Cenozoic and Mesozoic Paleoenvironment V,24-Jul-80,Walvis Bay,South Africa,6-Sep-80,Recife,Brazil,43.9,2.9,14.9,26.1,,22,2.6,,,,0.2,1.3,3,8,342,3221.4,9.2,2170.3,239,1931.3,1444.62,74.8,4645,1339.5,,,Robert Boyce,Robert Knapp,Dennis Graham,David Allard,William Hay & Jean-Claude Sibuet
GLOMAR CHALLENGER,76,Western Atlantic Continental Margin Geochemistry,22-Sep-80,Norfolk,USA,21-Dec-80,Fort Lauderdale,USA,89.93,23.7,8.96,51.8,6.57,36.08,2.2,7.87,,,0.99,4.93,2,4,202,2310.3,8.54,2301,762,1531.5,984.54,63.2,4984.5,3193.8,,,Kenneth Pisciotto,Glen Foss/Robert Knapp,Ted Gustafson,Steve Asquith,Felix Gradstein & Robert Sheridan
GLOMAR CHALLENGER,77,Evolution of the Eestern North Atlantic Passive Margin,21-Dec-80,Fort Lauderdale,USA,30-Jan-81,San Juan,Puerto Rico,40.13,6.18,7.88,26.07,,23.55,0.3,,,,0.2,2.02,6,8,238,1514.9,8.48,2250.5,71.5,2179,1076.87,49.4,3455.5,2801,,,Kenneth Pisciotto,Robert Knapp,Michael Lehman,William Mills,Richard Buffler & Wolfgang Schlager
GLOMAR CHALLENGER,78A,Lesser Antilles Subduction Complex,30-Jan-81,San Juan,Puerto Rico,12-Mar-81,San Juan,Puerto Rico,40.35,11.33,5.38,23.64,,15.1,3,,,,1.4,4.1,3,6,118,1063.3,8.3,2127,1021,1106,841.4,76.1,5645,4961,,,James Natland,Glen Foss,Ted Gustafson,David Allard,Bernard Biju-Duval & J. Casey Moore
GLOMAR CHALLENGER,78B,Mid-Atlantic Ridge Downhole Measurements,12-Mar-81,San Juan,Puerto Rico,8-Apr-81,Las Palmas,Canary Islands,28,2,13,13,,,,,,,,,1,2,0,,,,,,,,4483,4483,,,not applicable,V. Barry Robson,Ted Gustafson,not applicable,Roy Hyndman & Matthew Salisbury
GLOMAR CHALLENGER,79,Mazagan Plateau Rifting and Subsidence History,8-Apr-81,Las Palmas,Canary Islands,30-May-81,Brest,France,51.5,8.7,8.6,34.2,,30.5,0.09,1.3,,,,2.3,4,9,247,1714.2,8.48,3027.8,873,2155.8,1089.13,50.5,4002,3160,,,Peter Baumgartner,Robert Knapp,Burnette Hamlin,Joe Le Claire,Karl Hinz & Edward Winterer
GLOMAR CHALLENGER,80,Goban Spur North Atlantic Ocean Rifting,30-May-81,Brest,France,22-Jul-81,Southampton,England,53.09,8.13,6.6,35.15,3.21,28.2,3.3,,,,0.7,3,4,8,306,1557,8.6,3513,1115.5,2397.5,1493,62.2,4432,1256,,,Paul Loubere,Glen Foss,Michael Lehman,William Mills,Pierre De Graciansky & C. Wylie Poag
GLOMAR CHALLENGER,81,Rockall Plateau Microcontinent,22-Jul-81,Southampton,England,16-Sep-81,Ponta Delgada,Azores,55.83,5.1,16.95,33.83,,23.68,2.69,0.83,,,3.38,3.25,4,8,247,3368.4,8.36,2517,410,2111.5,1181.2,55.9,2584,1669,,,John Keene,Michael Storms,Ted Gustafson,David Allard,David Roberts & D. Detmar Schnitker
GLOMAR CHALLENGER,82,Mid-Atlantic Ridge Igneous Rock Geochemistry,16-Sep-81,Ponta Delgada,Azores,14-Nov-81,Balboa,Panama,59.64,3.47,22.74,33.43,,25.7,4.6,,,,0.5,2.6,9,10,145,4262,8.5,4023,2777.5,1245.5,756.9,60.8,3830,2155,,,William Mills,Glen Foss,Burnette Hamlin,Leslie Reynolds,Henri Bougault & Steven Cande
GLOMAR CHALLENGER,83,Costa Rica Rift Geophysical Experiments,14-Nov-81,Balboa,Panama,5-Jan-82,Balboa,Panama,52,5,6,41,,24.2,7.16,3.84,,,0.57,5.23,1,1,71,1079.2,8.59,514,0,514,107.88,20.99,3473.5,3473.5,,,Keir Becker,H. Graham Norrie,Ted Gustafson,Steven Asquith,Roger Anderson & Jose Honnorez
GLOMAR CHALLENGER,84,Mid-America Trench Active Plate Margins,5-Jan-82,Balboa,Panama,3-Mar-82,Los Angeles,USA,57.12,5.91,17.68,33.53,,22.2,4.9,,,,1.6,4.8,6,11,206,3759.5,8.9,2708.4,801.4,1907,1043.6,54.7,5529,1718.2,,,Miriam Baltuck,Glen Foss/David Huey,Michael Lehman,Robert Hayman,Jean Aubouin & Roland von Huene
GLOMAR CHALLENGER,85,Central Equatorial Pacific Paleoenvironment,3-Mar-82,Los Angeles,USA,2-May-82,Honolulu,USA,59.6,7.1,23.8,28.7,,25.88,0.82,,,,,2.25,5,17,299,5020,8.9,3479.6,1128.7,2431,2350.9,88,4572.2,3903,,,Ellen Thomas,Stanley Serocki,Burnette Hamlin,David Allard,Larry Mayer & Fritz Theyer
GLOMAR CHALLENGER,86,Western Pacific Neogene Paleoenvironment,2-May-82,Honolulu,USA,20-Jun-82,Yokohama,Japan,48.3,3.4,23.7,21.2,,18.4,0.4,,,,1,1.4,6,11,126,4861.4,8.73,1417.8,307.9,1109.9,956.25,86.2,6220.3,2677.6,,,Audrey Wright,Michael Storms,Ted Gustafson,Amy Altman,Lloyd Burckle & G. Ross Heath
GLOMAR CHALLENGER,87,Nankai Trough Convergent Plate Margin,20-Jun-82,Yokohama,Japan,18-Aug-82,Hakodate,Japan,59.26,6.51,11.42,41.33,,31.94,4.3,,,,0.77,4.32,3,14,311,2301,8.5,5331.2,2561.4,2769.8,1158.4,41.8,4892,4124,,,William Coulbourn,Glen Foss,Dennis Graham,William Mills,Hideo Kagami & Daniel Karig
GLOMAR CHALLENGER,88,NW Pacific Borehole seismometer Deployment,18-Aug-82,Hakodate,Japan,19-Sep-82,Yokohama,Japan,32.4,2.2,12.38,17.82,,8.3,3.16,1.8,,,3.1,4,1,3,11,2023.7,8.5,1125,1041.3,83.7,33.52,40,5482,5478,,,J. Alan Ballard,V. Barry Robson,Burnette Hamlin,Trudy Wood,Frederick Duennebier & Ralph Stephen
GLOMAR CHALLENGER,89,West Central Pacific Oldest Sediments,19-Sep-82,Yokohama,Japan,29-Nov-82,Noumea,New Caledonia,70.7,21.2,19.2,30.3,,23.1,1,1.5,,,1.4,3.3,3,7,156,4459.5,9.7,3006.9,1591,1415.9,873.5,61.7,6122.3,2218,,,Miriam Baltuck,Glen Foss,Ted Gustafson,Paula Weiss,Ralph Moberly & Seymour Schlanger
GLOMAR CHALLENGER,90,Neogene Paleoceanography from Tropical to Subantarctic Water Masses,29-Nov-82,Noumea,New Caledonia,9-Jan-83,Wellington,New Zealand,40.71,3.07,10.97,26.68,,23.8,,,,,2.1,0.7,8,18,494,2773,9.7,5216.3,650.9,4565.4,3715.46,81,2142.2,1079.9,,,Russell Merrill,David Huey,Dennis Graham,Robert Hayman,James Kennett & Christopher von der Borch
GLOMAR CHALLENGER,91,DARPA Seismological Observatory Installation,9-Jan-83,Wellington,New Zealand,20-Feb-83,Papeete,Tahiti,43.17,6.94,10.91,25.32,,10.08,10.28,2.79,,,0.81,1.36,2,6,31,2521,9.7,425.2,188.6,236.6,110.5,57.6,5710.5,5613.5,,,James Natland,Glen Foss,Burnette Hamlin,William Mills,H. William Menard & James Natland
GLOMAR CHALLENGER,92,East Pacific Rise Fast-Spreading Hydrogeology,20-Feb-83,Papeete,Tahiti,27-Apr-83,Balboa,Panama,66.3,3.4,32,30.9,,16.7,8,1.5,,,0.1,4.6,6,19,55,6495.2,8.6,591.4,208.7,382.7,279.56,73,4157.1,3372.3,,,Keir Becker,Michael Storms,Ted Gustafson,Paula Weiss,David Rea & Margaret Leinen
GLOMAR CHALLENGER,93,North Atlantic Deep Continental Slope,27-Apr-83,Norfolk,USA,17-Jun-83,Norfolk,USA,50.72,5.66,3.67,41.33,,29.3,1,4.2,,,4.2,2.7,3,7,261,813.7,9.4,4261.3,1827,2434.3,1679,69,4649.5,2207,,,Dean Dunn,Glen Foss,Michael Lehman,Robert Hayman,Sherwood Wise & Jan Van Hinte
GLOMAR CHALLENGER,94,Neogene High-Latitude Climatic Change in the Northern Hemisphere,17-Jun-83,Norfolk,USA,17-Aug-83,St. John's,Canada,60.73,6.03,21.63,33.07,,30.64,,,,,0.11,2.32,6,22,433,4920.1,9.4,5505.2,1498.7,4006.5,3361.5,84,3883.6,2426.3,,,Ellen Thomas,Donald Cameron,Burnette Hamlin,Paula Weiss,Robert Kidd & William Ruddiman
GLOMAR CHALLENGER,95,New Jersey Transect,17-Aug-83,St. John's,Canada,26-Sep-83,Port Everglades,USA,39.9,3.6,11.6,24.8,,20.7,2,,,,0.5,1.7,3,5,125,2493.8,9.14,4732.6,3557.7,1174.9,965.88,82.2,4652,1414.3,,,Paul Schiffelbein,David Huey,Ted Gustafson,Robert Hayman,C. Wylie Poag & A. B. Watts
GLOMAR CHALLENGER,96,Mississippi Fan Sediments and Biostratigraphy,26-Sep-83,Port Everglades,USA,8-Nov-83,Mobile,USA,43.13,3.47,7.3,32.36,,25.05,2.85,,,,0.85,3.61,11,20,385,1546.8,8.8,3706.6,1120.4,2586.2,1665.3,64.4,3314.1,2272.7,,,Audrey Meyer,Glen Foss,Dennis Graham,William Mills,Arnold Bouma & James Coleman
JOIDES Resolution,100,Shakedown - Northeastern Gulf of Mexico,11-Jan-85,Pasgagoula,USA,29-Jan-85,Miami,USA,17.9,0,6.2,11.7,,0,,,,,,,1,3,37,831,,514.6,237.1,277.5,264.4,95.3,889,,,,Robert Kidd,,,,Louis Garrison & Philip Rabinowitz
JOIDES Resolution,101,The Bahamas Carbonate Platform,29-Jan-85,Miami,USA,14-Mar-85,Miami,USA,43.8,2.2,5.3,36.3,,28,2.2,,,,0,6.1,11,19,319,853,11,3568.6,640.7,2927.9,1438.9,49.1,3581,,,,Amanda Palmer,Lamar Hayes,Dennis Graham/Ted Gustafson,Robert Hayman,James Austin & Wolfgang Schlager
JOIDES Resolution,102,The Bermuda Rise,14-Mar-85,Miami,USA,25-Apr-85,Ponta Delgada,Azores,42.1,9.1,13.7,19.3,,0,,,,,,,1,0,0,3948,,0,0,0,,,5505,,,,Christian Auroux,Glen Foss,Burnette Hamlin,,Matthew Salisbury & James Scott
JOIDES Resolution,103,The Galicia Margin,25-Apr-85,Ponta Delgada,Azores,19-Jun-85,Bremerhaven,Germany,55.2,0.4,8,46.8,,35.79,3.92,,,,0,7.09,5,14,157,1741,11.3,2996.5,1492,1504.5,616,40.9,5321,,,,Audrey Meyer,Lamar Hayes,Dennis Graham,Paula Weiss,Gilbert Boillot & Edward Winterer
JOIDES Resolution,104,The Norwegian Sea,19-Jun-85,Bremerhaven,Germany,23-Aug-85,St. John's,Canada,65.06,8.39,13.88,42.79,,32.26,2.61,,,,0,8.1,3,8,291,3688,11,2936.5,513.7,2422.8,1707.2,70.5,2780,,,,Elliott Taylor,Glen Foss,Burnette Hamlin,Gerald Bode,Olav Eldholm & Jorn Thiede
JOIDES Resolution,105,Baffin Bay and The Labrador Sea,23-Aug-85,St. John's,Canada,27-Oct-85,St. John's,Canada,64.6,5.5,13.6,45.5,,37.51,2.4,,,,0.13,5.46,3,11,316,2746,10.5,3689.5,723.1,2966.4,1884.8,63.5,3871,,,,Bradford Clement,Lamar Hayes,Ted Gustafson,Steven Prinz,Michael Arthur & Surat Srivastava
JOIDES Resolution,106,The Mid-Atlantic Ridge,27-Oct-85,St. John's,Canada,26-Dec-85,Malaga,Spain,60.51,6.13,13.09,41.29,,22.65,0,,,,4.24,14.32,2,12,17,3865,12.4,101.7,0,109.2,13.6,12.5,3530,,,,Andrew Adamson,Stanley Serocki,Burnette Hamlin,James Butler,Robert Detrick Jr. & Jose Honnorez
JOIDES Resolution,107,The Tyrrhenian Sea,26-Dec-85,Malaga,Spain,18-Feb-86,Marseille,France,53.49,4.01,6.28,43.2,,35.89,3.39,,,,0,3.92,7,11,353,1503,11.8,3631.8,342.6,3289.2,1843.9,56.1,3597,,,,Christian Auroux,David Huey,Ted Gustafson,Robert Hayman,Kim Kastens & Jean Mascle
JOIDES Resolution,108,The Eastern Tropical Atlantic,18-Feb-86,Marseille,France,17-Apr-86,Dakar,Senegal,58,3.47,18.8,35.73,,31.86,2,,,,0,1.87,12,27,461,5607,12.7,4457.4,213.6,4243.8,3842.5,90.5,4746,,,,Jack Baldauf,Lamar Hayes,Burnette Hamlin,Christine Mato,William Ruddiman & Michael Sarnthein
JOIDES Resolution,109,The Mid-Atlantic Ridge,17-Apr-86,Dakar,Senegal,19-Jun-86,Bridgetown,Barbados,63.81,6.47,9.54,47.8,,22.38,6.14,,,,0,19.27,4,5,25,2732,11.7,231,44.9,186.1,22.3,12,4490.2,,,,Andrew Adamson,Steven Howard,Ted Gustafson,Diana Stockdale,Wilfred Bryan & Thierry Juteau
JOIDES Resolution,110,The Northern Barbados Ridge,19-Jun-86,Bridgetown,Barbados,16-Aug-86,Bridgetown,Barbados,57.3,6.6,2.6,48.1,,39.6,4.3,,,,0,4.2,6,10,259,401,5.6,3683.6,1269.1,2414.5,1899.2,78.7,5070,,,,Elliott Taylor,Lamar Hayes,Burnette Hamlin,Steven Prinz,Alain Mascle & Casey Moore
JOIDES Resolution,111,Costa Rica Rift,16-Aug-86,Bridgetown,Barbados,20-Oct-86,Callao,Peru,65.1,6.3,10.6,48.2,,21,8.9,,,,0,18.23,3,5,79,2705,11,784.2,143.3,640.9,428.1,66.8,3474,,,,Russell Merrill,Glen Foss/Charles Hanson,Ted Gustafson,Anne Graham,Keir Becker & Hitoshi Sakai
JOIDES Resolution,112,Peru Continental Margin,20-Oct-86,Callao,Peru,25-Dec-86,Valparaiso,Chile,66,11.6,9.6,44.8,,39.2,1.9,,,,0,3.7,10,27,514,2243,9.4,6763.1,2043.3,4719.8,2664.1,56.4,5093,,,,Kay Emeis,Lamar Hayes,Burnette Hamlin,Paula Weiss,Erwin Suess & Roland von Huene
JOIDES Resolution,113,Weddel Sea,25-Dec-86,Valparaiso,Chile,11-Mar-87,East Cove,Falkland Islands/Islas Malvinas,74.92,5.13,25.92,43.87,,37.14,1.11,,,,2.57,5.61,9,22,386,6432,10.2,4044.2,639.4,3404.8,1943.6,57.1,4667,,,,Suzanne O'Connell,Charles Hanson,William Mills,Gerald Bode,Peter Barker & James Kennett
JOIDES Resolution,114,Subantarctic South Atlantic,11-Mar-87,East Cove,Falkland Islands/Islas Malvinas,13-May-87,Port Louis,Mauritius,64,4.12,20.82,39.06,,29.77,3.52,,,,1.48,4.29,7,12,392,5916,11.7,3672.1,87,3585.1,2300.1,64.2,4647,,,,Bradford Clement,Michael Storms,Ted Gustafson,Dan Quoidbach,Paul Ciesielski & Yngve Kristoffersen
JOIDES Resolution,115,Mascarene Plateau,13-May-87,Port Louis,Mauritius,2-Jul-87,Colombo,Sri Lanka,49.6,6.6,12.8,30.2,,26.67,1.8,,,,0,1.8,12,22,426,3208,10.4,4182.9,228.5,3954.4,3078.6,77.9,4440,,,,Larry Peterson,Lamar Hayes,Burnette Hamlin,Robert Wilcox,Jan Backman & Robert Duncan
JOIDES Resolution,116,Distal Bengal Fan,2-Jul-87,Colombo,Sri Lanka,19-Aug-87,Colombo,Sri Lanka,48.1,5.44,3.61,39.05,,28.37,5.54,,,,0,5.14,3,10,248,1052,11.3,3782.6,1492.5,2290.1,991.6,43.3,4747,,,,Christian Auroux,Charles Hanson,William Mills,Gain Clement,James Cochran & Dorrik Stow
JOIDES Resolution,117,Oman Margin,19-Aug-87,Colombo,Sri Lanka,18-Oct-87,Port Louis,Mauritius,59.08,4.53,19,35.55,,29.17,5.53,,,,0,0.84,12,25,628,4409,9,7125.5,1277.7,5847.8,4368.4,74.7,4045,,,,Kay Emeis,Lamar Hayes,Bradley Julson,Robert Wilcox,Nobuaki Niitsuma & Warren Prell
JOIDES Resolution,118,Southwest Indian Ridge,18-Oct-87,Port Louis,Mauritius,14-Dec-87,Port Louis,Mauritius,56.97,4.21,7.17,45.59,,29.7,5.84,,,,0,10.05,4,20,117,1752,10.5,770.8,0,776.6,447.2,57.6,5219,,,,Andrew Adamson,Charles Hanson,Burnette Hamlin,Daniel Quoidbach,Paul Robinson & Richard von Herzen
JOIDES Resolution,119,Kerguelen Plateau and Prydz Bay,14-Dec-87,Port Louis,Mauritius,21-Feb-88,Fremantle,Australia,68.9,4.5,27.4,37,,28.94,3.21,,,,1.03,3.86,11,22,427,6861,10.2,4446.1,796.3,3649.8,2102.3,57.6,4093,,,,Jack Baldauf,Glen Foss,William Mills,Robert Wilcox,John Barron & Birger Larsen
JOIDES Resolution,120,Kerguelen Plateau and Prydz Bay,21-Feb-88,Fremantle,Australia,30-Apr-88,Fremantle,Australia,69.09,5.97,35.13,27.99,,21.17,1.98,,,,1.8,3.03,5,12,255,9206,5,3555.1,1406.5,2148.6,1081.8,50.3,2041,,,,Amanda Julson,Glen Foss/Lamar Hayes,Bradley Julson,Paula Weiss,Roland Schlich & Sherwood Wise
JOIDES Resolution,121,Broken Ridge and Ninetyeast Ridge,30-Apr-88,Fremantle,Australia,28-Jun-88,Singapore,Singapore,58.7,5.2,19.3,34.2,,27.2,4.2,,,,0,2.8,7,17,310,5100,11.3,3732.5,1001.2,2731.3,1825.4,66.8,2937,,,,Elliott Taylor,David Huey,Burnette Hamlin,Robert Wilcox,John Peirce & Jeffrey Weissel
JOIDES Resolution,122,Exmouth Plateau,28-Jun-88,Singapore,Singapore,28-Aug-88,Singapore,Singapore,60.98,4.39,13.19,43.4,,30.62,8.93,,,,0,3.85,6,15,445,3756,11.9,5233.2,28,5205.2,2445.7,47,2710,,,,Suzanne O'Connell,Charles Hanson,Bradley Julson,Steven Prinz,Bilal Haq & Ulrich von Rad
JOIDES Resolution,123,Argo Abyssal Plain,28-Aug-88,Singapore,Singapore,1-Nov-88,Singapore,Singapore,65,4.34,13.24,47.42,,32.74,9.66,,,,0,5.02,2,5,189,1485,11.5,3091.2,1298.1,1793.1,1080.2,60.2,5732,,,,Andrew Adamson,Patrick Thompson,Randy Current,Daniel Quoidbach,Felix Gradstein & John Ludden
JOIDES Resolution,124,Celebes and Sulu Seas,1-Nov-88,Singapore,Singapore,4-Jan-89,Manila,Phillipines,63.8,4.1,12.5,47.2,,30.37,9.63,,,,0,7.25,5,13,336,3060,9.8,5228.1,2115.9,3112.2,2122.5,68.2,4916,,,,Marta Von Breymann,Glen Foss,Burnette Hamlin,John Miller,Claude Rangin & Eli Silver
JOIDES Resolution,124E,Philippine Sea - Engineering Tests,4-Jan-89,Manila,Phillipines,16-Feb-89,Apra Harbor,Guam,42.92,4.92,13.58,24.42,,13.85,0.57,,,,0,10,6,15,41,2950,9.8,1723.8,1444.1,279.7,147.1,52.6,5817,,,,William Rose,Barry Harding,Dennis Graham,Paula Weiss,not applicable
JOIDES Resolution,125,Izu-Bonin-Mariana Region I,16-Feb-89,Apra Harbor,Guam,18-Apr-89,Tokyo,Japan,61.1,4.3,8.2,48.6,,38.2,6.2,,,,0,4.2,9,15,323,1640,8.4,3540.4,622.8,2917.6,1022.5,35,4912,,,,Laura Stokking,Thomas Pettigrew,William Mills,Margaret Myre,Patricia Fryer & Julian Pearce
JOIDES Resolution,126,Izu-Bonin-Mariana Region II,18-Apr-89,Tokyo,Japan,19-Jun-89,Tokyo,Japan,61.97,4.38,4.28,53.31,,37.4,6,,,,0,7.14,7,19,500,1919,8.5,6492.5,1790.5,4702,2121.6,45.1,3265,,,,Thomas Janecek,Ronald Grout/David Huey,Bradley Julson,Scott Chaffey,Kantaro Fujioka & Brian Taylor
JOIDES Resolution,127,Japan Sea I,19-Jun-89,Tokyo,Japan,21-Aug-89,Pusan,South Korea,63,4.4,9.3,49.3,,32,8.6,,,,0,8.7,4,10,317,779,8.5,4798.6,1884.3,2914.3,1658.1,56.9,3311,,,,James Allan,Glen Foss,Burnette Hamlin,Margaret Myre,Kenneth Pisciotto & Kensaku Tamaki
JOIDES Resolution,128,Japan Sea II,21-Aug-89,Pusan,South Korea,20-Nov-89,Apra Harbor,Guam,56.08,5.12,8.05,42.91,,22.34,10.05,,,,0,10.52,3,9,226,1480,10,3720,1654,2066,1574.1,76.2,2818,,,,Marta Von Breymann,Eugene Pollard,William Mills,Scott Chaffey,James Ingle Jr. & Kiyoshi Suyehiro
JOIDES Resolution,129,Old Pacific Crust/Pigafetta and Mariana Basins,20-Nov-89,Apra Harbor,Guam,19-Jan-90,Apra Harbor,Guam,59.4,2,11.1,46.3,,33,4.6,,,,0,8.61,3,5,199,2675,10.4,2403.7,695.7,1708,467,27.3,5980,,,,Andrew Fisher,Glen Foss,Bradley Julson,John Miller,Yves Lancelot & Roger Larson
JOIDES Resolution,130,Ontong Java Plateau,19-Jan-90,Apra Harbor,Guam,27-Mar-90,Apra Harbor,Guam,66.9,4.2,11.5,51.2,,40.8,5.6,,,,0,4.9,5,16,639,2405,8.7,6877.1,987.8,5889.3,4821.6,81.9,3861.7,,,,Thomas Janecek,Eugene Pollard,Burnette Hamlin,Margaret Myre,Wolfgang Berger & Loren Kroenke
JOIDES Resolution,131,Nankai Trough,27-Mar-90,Apra Harbor,Guam,1-Jun-90,Pusan,South Korea,67.03,3.85,6.83,56.35,,26.78,14.56,,,,0.77,14.24,1,7,165,1750,11.2,4130.2,2666.9,1463.3,732.1,50,4687,,,,John Firth,Glen Foss/Thomas Pettigrew,William Mills,Gretchen Hampt,Ian Hill & Asahiko Taira
JOIDES Resolution,132,Western and Central Pacific,1-Jun-90,Pusan,South Korea,4-Aug-90,Apra Harbor,Guam,63.5,6.1,12.4,45,,14.3,1.4,,,,0,29.3,3,11,52,3252,10.9,316.6,79.6,237,164.7,69.5,4696,,,,Frank Rack,Michael Storms,Bradley Julson,Steven Prinz,James Natland
JOIDES Resolution,133,Northeast Australian Margin,4-Aug-90,Apra Harbor,Guam,11-Oct-90,Townsville,Australia,67.5,4.8,11.8,50.9,,36,10.7,,,,0,4.2,16,36,885,3242,10.8,10890.1,2925.3,7964.8,5507.6,69.1,1650,,,,Amanda Julson,Eugene Pollard,Burnette Hamlin,Gretchen Hampt,Peter Davies & Judith Mckenzie
JOIDES Resolution,134,"Vanuatu, New Hebrides",11-Oct-90,Townsville,Australia,17-Dec-90,Suva,Fiji,67,4.4,9.9,52.7,,39.46,8.92,,,,0,4.33,7,16,541,2133,10.8,5640.5,809.2,4831.3,2044.5,42.3,3101,,,,Laura Stokking,Glen Foss,William Mills,Robert Kemp,Jean-Yves Collot & Gary Greene
JOIDES Resolution,135,Lau Basin,17-Dec-90,Suva,Fiji,28-Feb-91,Honolulu,USA,73,3.7,18.1,51.2,,40.1,7.1,,,,0,4,8,18,409,4065.2,9.4,5012.9,581.4,4431.5,1253.9,28.3,4821,,,,James Allan,Eugene Pollard,Bradley Julson,Gretchen Hampt,James Hawkins & Lindsay Parson
JOIDES Resolution,136,Hawaiian Arch - Ocean Seismograph Network,28-Feb-91,Honolulu,USA,20-Mar-91,Honolulu,USA,20.05,2.48,1.23,16.34,,10.87,1.95,,,,0,3.52,2,6,20,257,10.1,975.1,845.7,129.4,63.5,49.1,4441,,,,John Firth,Barry Harding,Burnette Hamlin,Robert Kemp,Adam Dziewonski & Roy Wilkens
JOIDES Resolution,137,Hole 504B - Costa Rica Rift,20-Mar-91,Honolulu,USA,1-May-91,Balboa,Panama,41.7,0.3,19.9,21.5,,8.17,3.36,,,,0,9.97,1,1,8,5072,10.6,1621.5,1561.3,60.2,13.5,1,3474,,,,Anne Graham,Glen Foss,William Mills,Robert Kemp,Keir Becker & Glen Foss
JOIDES Resolution,138,Eastern Equatorial Pacific,1-May-91,Balboa,Panama,4-Jul-91,San Diego,USA,64.4,4.1,22.1,38.2,,30.7,6.3,,,,0,1.1,11,42,599,5421,10.4,5610.2,67.6,5542.6,5535.8,99.9,3861,,,,Thomas Janecek,Ronald Grout,Burnette Hamlin,John Miller,Larry Mayer & Nick Pisias
JOIDES Resolution,139,Middle Valley - Juan de Fuca Ridge,4-Jul-91,San Diego,USA,11-Sep-91,Victoria,Canada,68.7,6.1,5.6,57,,34.03,13.83,,,,0.04,9.06,4,23,331,1453,10.1,3725,1068.6,2656.4,933.4,35.1,2457,,,,Andrew Fisher,Glen Foss,Bradley Julson,Robert Kemp,Earl Davis & Mike Mottl
JOIDES Resolution,140,Hole 504B - Costa Rica Rift,11-Sep-91,Victoria,Canada,12-Nov-91,Balboa,Panama,62.1,4.6,17.1,40.4,,26.8,3.7,,,,0,9.9,1,1,57,4592,10.9,2000.4,1621.8,378.6,53.3,1.7,3474,,,,Laura Stokking,Eugene Pollard,Dennis Graham,Erinn McCarty,Henry Dick & Jorg Erzinger
JOIDES Resolution,141,Chile Triple Junction,12-Nov-91,Balboa,Panama,12-Jan-92,Valparaiso,Chile,61.3,3.5,20,37.8,,28.7,7.4,,,,0,1.6,5,13,284,5212.5,11.1,3325.6,809.7,2515.9,1018.9,40.5,2760,,,,Robert Musgrave,David Huey,William Mills,Lorraine Southey,Jan Behrmann & Stephen Lewis
